lesson,raw_grad_norm,loss_reg,loss_cls,gate_logit_mean,fed_grad_max
0,3609.222478666242,654.6687931617101,70.6197197722892,-6.872237147942896,0.0
1,5467.091110385766,786.375350077947,110.52326161352296,-6.879360244932978,5.773391246795654
2,10891.432889646034,841.0002888441086,64.3715820577927,-6.876277718985268,6.73617696762085
3,8655.838494262274,828.4975794156393,33.5739615795513,-6.872846509949961,1773.9000244140625
4,2422.425210522577,615.6426867246628,82.65547317344074,-6.870376670280406,27.0983829498291
5,1129.664291686256,481.6900516351064,40.07524799974635,-6.87329115960753,4.56247615814209
6,3454.5671793211463,642.3248589833578,83.1146403142872,-6.869814503242525,10.991989135742188
7,1212.0197033219044,473.1693608363469,42.135167486499995,-6.863542133365501,7.5988545417785645
8,12662.111718723718,1048.8791358470917,112.6665744362399,-6.851457257779256,44.0841064453125
9,1397.166833155959,479.74269274870557,40.1051044415993,-6.859743375103328,3.6949102878570557
10,13021.194072808335,811.4556564092636,66.97387933979432,-6.846875369682397,25.548995971679688
11,1818.1317647490444,539.9446134964625,98.50231474420677,-6.839623511085669,4.8733811378479
12,1948.9997072179963,548.9485085805258,99.15440947609022,-6.832315779327773,9.230658531188965
13,4289.838564991098,561.8238345384598,70.34333814665054,-6.822735382737237,40.41408920288086
14,1343.565745135122,480.99384991327923,60.760650892431535,-6.815398256709245,8.683650016784668
15,1059.8393915930096,439.2639052073161,65.75894994831954,-6.804009714074674,6.3640546798706055
16,12566.941815713708,469.8590638240178,52.53349919989705,-6.810345800877991,55.62494659423828
17,942.6932676554619,397.63362097740173,62.89978660208484,-6.789687655501132,4.863789081573486
18,896.0644508121499,390.9501135150592,62.687726743674524,-6.782306740003788,4.451714992523193
19,912.1079791936542,362.9887949824333,52.980284831797086,-6.770388611302787,3.3900156021118164
20,912.857124517305,389.3020104765892,76.47421563385676,-6.776439355116718,4.5436015129089355
21,835.9503722110903,367.4394182562828,82.79513037080567,-6.768103505188633,3.7999773025512695
22,6762.260388937599,451.58525997400284,51.903706792742014,-6.751561415871099,711.9703369140625
23,1068.2246416202825,314.8338332573573,39.462462472729385,-6.742080997206865,44.7452392578125
24,803.6017240800971,319.97944657007855,63.31591979724666,-6.722287506618982,5.711973190307617
25,775.7598598555766,323.2422025998433,79.69003015632431,-6.715599273055019,27.350664138793945
26,978.0883250344881,344.35155673821765,86.61544280312955,-6.698089315308771,96.7833251953125
27,827.0021255250633,266.31395842631656,37.09877254255116,-6.692668069527389,19.61577796936035
28,903.952778602797,295.7566778262456,77.72944048636903,-6.675739721651838,6.793680667877197
29,2837.224578490515,289.16182684898376,29.616825214276712,-6.662717851583216,403.23797607421875
30,1154.0799180087322,252.1564370393753,48.847067543926336,-6.654484493855365,9.395099639892578
31,3177.5764780298855,263.9287952383359,59.06406991059581,-6.62635668233309,44.507965087890625
32,2710.6045553403965,251.95865251620612,71.80682082225879,-6.610260869080235,10.350409507751465
33,2108.5735672394203,211.910574366649,47.46838644488404,-6.619770292055519,169.8531951904297
34,3070.384212060635,224.22363183895746,63.92459209014972,-6.6250275748683745,12.636747360229492
35,4217.174873902907,229.45447546243668,59.78893882098297,-6.636157195078727,35.55581283569336
36,2482.0526950947246,177.11646190285683,28.089657047453027,-6.643782594743692,12.518758773803711
37,1153.4842466870236,193.8223910331726,44.259178946105145,-6.653182064231069,13.2352294921875
38,1981.8345306743663,238.83643321196237,77.84369491630544,-6.6663924848426435,12.289692878723145
39,1127.0928268905914,197.62731363375983,37.86743420766046,-6.691830556743083,9.080601692199707
40,868.4676411294994,215.21990110476813,61.57372146549945,-6.712789249542315,12.801013946533203
41,1645.9096153071391,191.3710423807303,43.364108037979655,-6.744729815100463,7.912438869476318
42,1280.44259037236,242.78524630268416,84.7285800500152,-6.759665764336246,12.2213134765625
43,586.3529048340652,160.7192156215509,34.92234566093733,-6.788706843302565,7.222107887268066
44,564.9184705045509,175.64953517913818,38.159183849735804,-6.802244637587343,105.24799346923828
45,800.4910276637871,198.85176249345145,61.86115795420483,-6.8110783384886835,26.203311920166016
46,617.2834870737878,156.3410223821799,54.1502793841064,-6.822134647467103,13.012602806091309
47,495.65717099370715,134.44304751356444,19.651112738686304,-6.8280153726485535,29.7215576171875
48,354.46815900379863,144.31384245554605,33.85756320056195,-6.820572312428636,17.75617218017578
49,407.8410965470972,179.9235987663269,39.76519184544062,-6.809449861113016,30.147525787353516
50,417.1102214631159,144.62585120896497,34.19463205290958,-6.798940982415513,21.53030776977539
51,706.2895047918139,147.69653275609016,58.24462846821795,-6.796460007842519,6.790589809417725
52,484.43584393561264,112.94524108866851,35.84520251365999,-6.783512202051257,13.461747169494629
53,793.2028237711905,134.25409825642905,62.778232575238995,-6.758403764792524,7.379317283630371
54,786.5714829841363,90.77068563054006,22.885496294436354,-6.745406965090226,35.50239181518555
55,831.3946047410716,140.68938124428192,50.65825855142126,-6.7151650243411645,22.47429084777832
56,578.8600070305125,112.51444294303656,50.02664920004705,-6.704671787520918,7.3986921310424805
57,677.1416017176367,76.31343279530604,22.134770972964663,-6.703371395944137,60.0986442565918
58,675.5571614828364,63.862380842367806,18.106487807196874,-6.709591875616801,11.610557556152344
59,987.5464638470338,107.3181361084183,50.195056280276425,-6.692648447747037,6.3536529541015625
60,532.8932428031562,173.6578752870361,69.6444857660681,-6.653711909557663,14.920888900756836
61,361.75110713028874,89.89560652524233,37.13258427723,-6.662170601013262,13.892590522766113
62,643.8617447935513,131.60383067280054,64.17370635519426,-6.624830172529902,11.037590980529785
63,1147.8542061429498,162.39811292290688,44.513484424600996,-6.618214345077578,450.411865234375
64,1086.5744818732517,144.90290916214386,47.684059991811715,-6.605690179251342,127.05528259277344
65,523.9292068829001,47.62480731060108,19.34060759904484,-6.618112910683247,7.954511642456055
66,960.3765734638903,93.65532319744428,44.32595087805142,-6.579760872550473,9.39155101776123
67,500.8544244480588,67.58570093413194,34.566227906383574,-6.574154765415833,12.603411674499512
